031319_Aer_EcCheA_EcCheW_BL21_150K_DEER_2500ns.DSC	112118_AerInvivoBL21_4Pdeer2500ns_150K_Phased.DSC	240823_AerInLMNG_Cap1_4PDeer2_5us__150K.DSC
2394.0	2338.0	2394.0
2.0	2.0	2.0
0.006058803584465984	0.0029397369428319398	0.009271267514996632
0.1500605069652158	0.03245828360296494	0.032777951978327155
24.76734967113841	11.041220433722504	3.535433739271093
0.29363141001256154	0.06468702948608063	0.06730776414849549
0.0543942562720025	0.013864486643553869	0.02143848684233586
-0.1767030826793557	-0.03922912343023775	-0.04841893753354714
-0.0001453252907989861	-2.862760183216435e-05	-2.9130433805678893e-05
nan	nan	nan
