022421_Aer_AW_15N2H_BL21_150K_DEER_5000ns.DSC	031519_Aer_EcCheA_EcCheW_BL21_150K_DEER_3200ns.DSC	040619_Aer_EcA_EcW_100pD2O_150K_4PDeer_4500ns.DSC	051019_AerECAW_N15_4PDEER_3500ns_150K.DSC
4794.0	3098.0	4506.0	3418.0
-6.0	-6.0	-6.0	-6.0
0.003823503400681533	0.006233372645259123	0.007865111776053538	0.009569593105060975
0.1308758330488174	0.052238196206255354	0.06880691364519832	0.18891989163508713
34.22929688659071	8.380406431498336	8.748370729414278	19.741684893078155
0.269292098021526	0.08953613761527968	0.47030512149352344	0.29102125295200754
0.04540973188065855	0.04581365270129282	0.03624635634496692	0.07394901989004406
-0.15432785377269784	-0.07264669245440283	-0.09034403746566043	-0.2211403175871727
-6.536280958025596e-05	-3.0219417029531615e-05	-0.0001408364670094318	-0.00010044676660460691
nan	nan	nan	nan
