     index             RF [MHz]            Time [ns]         Intensity []         Intensity []
       133     3.58064516129032                  120              3456932               693859
       134     3.60019550342131                  120              3440208               693911
       135     3.61974584555229                  120              3436999               694974
       136     3.63929618768328                  120              3452600               683824
       137     3.65884652981427                  120              3441763               704221
       138     3.67839687194526                  120              3444739               689455
       139     3.69794721407624                  120              3432389               686977
       140     3.71749755620723                  120              3439471               683606
       141     3.73704789833822                  120              3425652               671542
       142     3.75659824046921                  120              3434009               692517
       143     3.77614858260019                  120              3445810               709514
       144     3.79569892473118                  120              3437296               689733
       145     3.81524926686217                  120              3442237               696405
       146     3.83479960899315                  120              3435501               686943
       147     3.85434995112414                  120              3448722               693877
       148     3.87390029325513                  120              3439662               702260
       149     3.89345063538612                  120              3430060               696393
       150      3.9130009775171                  120              3437871               691643
       151     3.93255131964809                  120              3444829               687570
       152     3.95210166177908                  120              3449780               700733
       153     3.97165200391007                  120              3463871               699973
       154     3.99120234604105                  120              3452154               704262
       155     4.01075268817204                  120              3442562               701982
       156     4.03030303030303                  120              3452559               680067
       157     4.04985337243401                  120              3450093               696843
       158       4.069403714565                  120              3446513               687895
       159     4.08895405669599                  120              3447153               693513
       160     4.10850439882698                  120              3447675               696739
       161     4.12805474095796                  120              3446709               701610
       162     4.14760508308895                  120              3455203               687200
       163     4.16715542521994                  120              3458265               708761
       164     4.18670576735093                  120              3448482               708130
       165     4.20625610948191                  120              3459571               711213
       166      4.2258064516129                  120              3446393               692043
       167     4.24535679374389                  120              3462544               696147
       168     4.26490713587487                  120              3453183               692514
       169     4.28445747800586                  120              3431786               701280
       170     4.30400782013685                  120              3443025               695582
       171     4.32355816226784                  120              3449788               708648
       172     4.34310850439882                  120              3441052               688695
       173     4.36265884652981                  120              3449626               710890
       174      4.3822091886608                  120              3455782               688875
       175     4.40175953079179                  120              3455059               686100
       176     4.42130987292277                  120              3449764               699102
       177     4.44086021505376                  120              3445373               698197
       178     4.46041055718475                  120              3433436               696856
       179     4.47996089931573                  120              3444554               706608
       180     4.49951124144672                  120              3430352               683727
       181     4.51906158357771                  120              3445313               701923
       182      4.5386119257087                  120              3443017               680026
       183     4.55816226783968                  120              3445094               698386
       184     4.57771260997067                  120              3448678               691859
       185     4.59726295210166                  120              3439275               698127
       186     4.61681329423265                  120              3451122               699180
       187     4.63636363636363                  120              3450857               695442
       188     4.65591397849462                  120              3438066               705486
       189     4.67546432062561                  120              3451968               694446
       190     4.69501466275659                  120              3452964               694168
       191     4.71456500488758                  120              3453560               680113
       192     4.73411534701857                  120              3453760               694548
       193     4.75366568914956                  120              3450764               694434
       194     4.77321603128054                  120              3451487               697142
       195     4.79276637341153                  120              3455107               680140
       196     4.81231671554252                  120              3464754               695714
       197     4.83186705767351                  120              3431712               695494
       198     4.85141739980449                  120              3442482               700677
       199     4.87096774193548                  120              3437515               706803
       200     4.89051808406647                  120              3462067               703456
       201     4.91006842619745                  120              3461363               710767
       202     4.92961876832844                  120              3444549               713551
       203     4.94916911045943                  120              3460389               701049
       204     4.96871945259042                  120              3450877               697467
       205      4.9882697947214                  120              3445647               694320
       206     5.00782013685239                  120              3441939               693329
       207     5.02737047898338                  120              3441560               709157
       208     5.04692082111437                  120              3453473               694987
       209     5.06647116324535                  120              3459078               701894
       210     5.08602150537634                  120              3458125               698776
       211     5.10557184750733                  120              3453287               710515
       212     5.12512218963832                  120              3463522               718639
       213      5.1446725317693                  120              3447864               696471
       214     5.16422287390029                  120              3440063               697191
       215     5.18377321603128                  120              3441220               690436
       216     5.20332355816226                  120              3445107               697271
       217     5.22287390029325                  120              3451140               693926
       218     5.24242424242424                  120              3460224               702232
       219     5.26197458455523                  120              3441318               697082
       220     5.28152492668621                  120              3456308               696400
       221      5.3010752688172                  120              3456064               690780
       222     5.32062561094819                  120              3445208               697670
       223     5.34017595307918                  120              3454805               694969
       224     5.35972629521016                  120              3456620               697627
       225     5.37927663734115                  120              3443950               695845
       226     5.39882697947214                  120              3468671               710763
       227     5.41837732160312                  120              3455088               698864
       228     5.43792766373411                  120              3450866               695566
       229      5.4574780058651                  120              3456336               692095
       230     5.47702834799609                  120              3453831               696798
       231     5.49657869012707                  120              3448162               705956
       232     5.51612903225806                  120              3456035               698225
       233     5.53567937438905                  120              3451084               697675
       234     5.55522971652004                  120              3443601               692125
       235     5.57478005865102                  120              3457325               691723
       236     5.59433040078201                  120              3454323               710729
       237       5.613880742913                  120              3443612               689763
       238     5.63343108504398                  120              3448131               695552
       239     5.65298142717497                  120              3450976               707898
       240     5.67253176930596                  120              3466657               706480
       241     5.69208211143695                  120              3458651               701897
       242     5.71163245356793                  120              3455144               689919
       243     5.73118279569892                  120              3447794               705845
       244     5.75073313782991                  120              3453688               692315
       245      5.7702834799609                  120              3449748               698385
       246     5.78983382209188                  120              3451158               703115
       247     5.80938416422287                  120              3454404               695303
       248     5.82893450635386                  120              3451628               703246
       249     5.84848484848484                  120              3450434               696891
       250     5.86803519061583                  120              3441184               692447
       251     5.88758553274682                  120              3461627               694969
       252     5.90713587487781                  120              3453723               701907
       253     5.92668621700879                  120              3451532               696332
       254     5.94623655913978                  120              3451187               708168
       255     5.96578690127077                  120              3447453               704505
       256     5.98533724340176                  120              3459946               692161
       257     6.00488758553274                  120              3457004               707633
       258     6.02443792766373                  120              3454208               701415
       259     6.04398826979472                  120              3456673               688634
       260      6.0635386119257                  120              3454207               694556
       261     6.08308895405669                  120              3456368               688920
       262     6.10263929618768                  120              3454889               703505
       263     6.12218963831867                  120              3459368               696597
       264     6.14173998044965                  120              3447386               703708
       265     6.16129032258064                  120              3466774               708160
       266     6.18084066471163                  120              3458199               693152
       267     6.20039100684262                  120              3469248               715192
       268      6.2199413489736                  120              3465733               699680
       269     6.23949169110459                  120              3460929               698635
       270     6.25904203323558                  120              3462349               701529
       271     6.27859237536656                  120              3453370               707880
       272     6.29814271749755                  120              3453302               707476
       273     6.31769305962854                  120              3456235               699649
