     index             RF [MHz]            Time [ns]         Intensity []         Intensity []
       121     3.34604105571847                  120             21693232             -2197646
       122     3.36559139784946                  120             21682838             -2219086
       123     3.38514173998045                  120             21661309             -2193019
       124     3.40469208211143                  120             21680345             -2229291
       125     3.42424242424242                  120             21637164             -2235664
       126     3.44379276637341                  120             21677509             -2210504
       127      3.4633431085044                  120             21674886             -2255995
       128     3.48289345063538                  120             21672080             -2193319
       129     3.50244379276637                  120             21665163             -2225679
       130     3.52199413489736                  120             21650967             -2224792
       131     3.54154447702835                  120             21654793             -2216484
       132     3.56109481915933                  120             21671052             -2222332
       133     3.58064516129032                  120             21630294             -2217209
       134     3.60019550342131                  120             21671409             -2230968
       135     3.61974584555229                  120             21626625             -2196646
       136     3.63929618768328                  120             21671974             -2212025
       137     3.65884652981427                  120             21655276             -2247548
       138     3.67839687194526                  120             21688475             -2247134
       139     3.69794721407624                  120             21642555             -2234743
       140     3.71749755620723                  120             21638812             -2217045
       141     3.73704789833822                  120             21667896             -2260241
       142     3.75659824046921                  120             21688998             -2193746
       143     3.77614858260019                  120             21664883             -2207276
       144     3.79569892473118                  120             21665524             -2220690
       145     3.81524926686217                  120             21664475             -2222316
       146     3.83479960899315                  120             21665858             -2250275
       147     3.85434995112414                  120             21682440             -2175726
       148     3.87390029325513                  120             21662393             -2227766
       149     3.89345063538612                  120             21662019             -2211295
       150      3.9130009775171                  120             21683054             -2208187
       151     3.93255131964809                  120             21641858             -2236345
       152     3.95210166177908                  120             21642486             -2205411
       153     3.97165200391007                  120             21657465             -2237391
       154     3.99120234604105                  120             21664645             -2210963
       155     4.01075268817204                  120             21656625             -2195973
       156     4.03030303030303                  120             21674298             -2209303
       157     4.04985337243401                  120             21662987             -2207708
       158       4.069403714565                  120             21643114             -2204748
       159     4.08895405669599                  120             21661864             -2206444
       160     4.10850439882698                  120             21662492             -2244214
       161     4.12805474095796                  120             21671198             -2227115
       162     4.14760508308895                  120             21648194             -2212348
       163     4.16715542521994                  120             21648745             -2207436
       164     4.18670576735093                  120             21647946             -2223768
       165     4.20625610948191                  120             21642857             -2256650
       166      4.2258064516129                  120             21688350             -2211853
       167     4.24535679374389                  120             21653717             -2214689
       168     4.26490713587487                  120             21626786             -2255611
       169     4.28445747800586                  120             21663034             -2197305
       170     4.30400782013685                  120             21645585             -2223888
       171     4.32355816226784                  120             21650626             -2207078
       172     4.34310850439882                  120             21637171             -2242849
       173     4.36265884652981                  120             21643519             -2240532
       174      4.3822091886608                  120             21655119             -2223992
       175     4.40175953079179                  120             21668577             -2228273
       176     4.42130987292277                  120             21657635             -2224328
       177     4.44086021505376                  120             21671015             -2252429
       178     4.46041055718475                  120             21647091             -2230291
       179     4.47996089931573                  120             21664070             -2265362
       180     4.49951124144672                  120             21672175             -2220853
       181     4.51906158357771                  120             21671976             -2236901
       182      4.5386119257087                  120             21681645             -2221773
       183     4.55816226783968                  120             21685061             -2184927
       184     4.57771260997067                  120             21673813             -2213336
       185     4.59726295210166                  120             21648427             -2222903
       186     4.61681329423265                  120             21680513             -2259562
       187     4.63636363636363                  120             21671992             -2208996
       188     4.65591397849462                  120             21677969             -2226048
       189     4.67546432062561                  120             21657831             -2221098
       190     4.69501466275659                  120             21684347             -2191529
       191     4.71456500488758                  120             21676389             -2226212
       192     4.73411534701857                  120             21685303             -2227877
       193     4.75366568914956                  120             21656765             -2236781
       194     4.77321603128054                  120             21631361             -2254293
       195     4.79276637341153                  120             21672200             -2211036
       196     4.81231671554252                  120             21684652             -2247626
       197     4.83186705767351                  120             21677147             -2210435
       198     4.85141739980449                  120             21660561             -2239211
       199     4.87096774193548                  120             21656011             -2226163
       200     4.89051808406647                  120             21658444             -2222530
       201     4.91006842619745                  120             21658059             -2235859
       202     4.92961876832844                  120             21685923             -2209805
       203     4.94916911045943                  120             21658913             -2229921
       204     4.96871945259042                  120             21652943             -2210178
       205      4.9882697947214                  120             21673057             -2246331
       206     5.00782013685239                  120             21675563             -2250289
       207     5.02737047898338                  120             21667181             -2219561
       208     5.04692082111437                  120             21680653             -2223210
       209     5.06647116324535                  120             21669563             -2208542
       210     5.08602150537634                  120             21672783             -2245416
       211     5.10557184750733                  120             21713118             -2216931
       212     5.12512218963832                  120             21660627             -2223717
       213      5.1446725317693                  120             21666855             -2232384
       214     5.16422287390029                  120             21693527             -2216657
       215     5.18377321603128                  120             21656809             -2223388
       216     5.20332355816226                  120             21645644             -2226581
       217     5.22287390029325                  120             21684934             -2229541
       218     5.24242424242424                  120             21669137             -2206670
       219     5.26197458455523                  120             21662297             -2221757
       220     5.28152492668621                  120             21671948             -2238965
       221      5.3010752688172                  120             21693782             -2197767
       222     5.32062561094819                  120             21686449             -2241558
       223     5.34017595307918                  120             21636417             -2247219
       224     5.35972629521016                  120             21677531             -2205051
       225     5.37927663734115                  120             21643175             -2226824
       226     5.39882697947214                  120             21671606             -2222671
       227     5.41837732160312                  120             21666512             -2226664
       228     5.43792766373411                  120             21682614             -2201304
       229      5.4574780058651                  120             21675321             -2243363
       230     5.47702834799609                  120             21690852             -2216441
       231     5.49657869012707                  120             21688799             -2220506
       232     5.51612903225806                  120             21657090             -2227307
       233     5.53567937438905                  120             21681898             -2207198
       234     5.55522971652004                  120             21641436             -2223845
       235     5.57478005865102                  120             21682185             -2223731
       236     5.59433040078201                  120             21662130             -2206208
       237       5.613880742913                  120             21678132             -2226906
       238     5.63343108504398                  120             21682589             -2203397
       239     5.65298142717497                  120             21656076             -2236766
       240     5.67253176930596                  120             21682614             -2185065
       241     5.69208211143695                  120             21686755             -2222072
       242     5.71163245356793                  120             21641596             -2234074
       243     5.73118279569892                  120             21662557             -2222123
       244     5.75073313782991                  120             21655342             -2248798
       245      5.7702834799609                  120             21686711             -2207637
       246     5.78983382209188                  120             21648946             -2243610
       247     5.80938416422287                  120             21677878             -2213936
       248     5.82893450635386                  120             21671714             -2216059
       249     5.84848484848484                  120             21661492             -2227859
       250     5.86803519061583                  120             21657059             -2211261
       251     5.88758553274682                  120             21654961             -2193778
       252     5.90713587487781                  120             21680085             -2190269
       253     5.92668621700879                  120             21649411             -2245041
       254     5.94623655913978                  120             21679984             -2197460
       255     5.96578690127077                  120             21661233             -2239134
       256     5.98533724340176                  120             21673339             -2220642
       257     6.00488758553274                  120             21667585             -2201598
       258     6.02443792766373                  120             21650145             -2234877
       259     6.04398826979472                  120             21656800             -2210502
       260      6.0635386119257                  120             21665196             -2243959
       261     6.08308895405669                  120             21673443             -2208410
       262     6.10263929618768                  120             21648058             -2242420
       263     6.12218963831867                  120             21656314             -2238282
       264     6.14173998044965                  120             21664914             -2218742
       265     6.16129032258064                  120             21649295             -2252267
       266     6.18084066471163                  120             21661558             -2211849
       267     6.20039100684262                  120             21656355             -2225866
       268      6.2199413489736                  120             21645315             -2242000
       269     6.23949169110459                  120             21683099             -2223327
       270     6.25904203323558                  120             21651998             -2235478
       271     6.27859237536656                  120             21680702             -2229352
       272     6.29814271749755                  120             21682836             -2226319
       273     6.31769305962854                  120             21650313             -2255064
       274     6.33724340175953                  120             21690744             -2217939
       275     6.35679374389051                  120             21685770             -2245838
       276      6.3763440860215                  120             21653492             -2193874
